Series#;Series_description;TSC_serie;TSC_description_serie;Sub;Points of focus
CC1;Control Environment;CC1.4;COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.;CC1.4.4;Plans and Prepares for Succession—Senior management and the board of directors develop contingency plans for assignments of responsibility important for internal control.
CC1;Control Environment;CC1.4;COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.;CC1.4.5;Considers the Background of Individuals—The entity considers the background of potential and existing personnel, contractors, and vendor employees when determining whether to employ and retain the individuals. 
CC1;Control Environment;CC1.4;COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.;CC1.4.6;Considers the Technical Competency of Individuals—The entity considers the technical competency of potential and existing personnel, contractors, and vendor employees when determining whether to employ and retain the individuals. 
CC1;Control Environment;CC1.4;COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.;CC1.4.7;Provides Training to Maintain Technical Competencies— The entity provides training programs, including continuing education and training, to ensure skill sets and technical competency of existing personnel, contractors, and vendor employees are developed and maintained.
CC1;Control Environment;CC1.5;COSO Principle 5: The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.;CC1.5.1;Enforces Accountability Through Structures, Authorities, and Responsibilities—Management and the board of directors establish the mechanisms to communicate and hold individuals accountable for performance of internal control responsibilities across the entity and implement corrective action as necessary.
CC1;Control Environment;CC1.5;COSO Principle 5: The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.;CC1.5.2;Establishes Performance Measures, Incentives, and Rewards—Management and the board of directors establish performance measures, incentives, and other rewards appropriate for responsibilities at all levels of the entity, reflecting appropriate dimensions of performance and expected standards of conduct, and considering the achievement of both short-term and longer-term objectives.
CC1;Control Environment;CC1.5;COSO Principle 5: The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.;CC1.5.3;Evaluates Performance Measures, Incentives, and Rewards for Ongoing Relevance—Management and the board of directors align incentives and rewards with the fulfillment of internal control responsibilities in the achievement of objectives.
CC1;Control Environment;CC1.5;COSO Principle 5: The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.;CC1.5.4;Considers Excessive Pressures—Management and the board of directors evaluate and adjust pressures associated with the achievement of objectives as they assign responsibilities, develop performance measures, and evaluate performance.
CC1;Control Environment;CC1.5;COSO Principle 5: The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.;CC1.5.5;Evaluates Performance and Rewards or Disciplines Individuals—Management and the board of directors evaluate performance of internal control responsibilities, including adherence to standards of conduct and expected levels of competence, and provide rewards or exercise disciplinary action, as appropriate.
CC2;Communication and Information;CC2.1;COSO Principle 13: The entity obtains or generates and uses relevant, quality information to support the functioning of internal control.;CC2.1.1;Identifies Information Requirements—A process is in place to identify the information required and expected to support the functioning of the other components of internal control and the achievement of the entity’s objectives.
CC2;Communication and Information;CC2.1;COSO Principle 13: The entity obtains or generates and uses relevant, quality information to support the functioning of internal control.;CC2.1.2;Captures Internal and External Sources of Data—Information systems capture internal and external sources of data.
CC2;Communication and Information;CC2.1;COSO Principle 13: The entity obtains or generates and uses relevant, quality information to support the functioning of internal control.;CC2.1.3;Processes Relevant Data Into Information—Information systems process and transform relevant data into information.
CC2;Communication and Information;CC2.1;COSO Principle 13: The entity obtains or generates and uses relevant, quality information to support the functioning of internal control.;CC2.1.4;Maintains Quality Throughout Processing—Information systems produce information that is timely, current, accurate, complete, accessible, protected, verifiable, and retained. Information is reviewed to assess its relevance in supporting the internal control components. 
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.1;Communicates Internal Control Information—A process is in place to communicate required information to enable all personnel to understand and carry out their internal control responsibilities.
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.2;Communicates With the Board of Directors—Communication exists between management and the board of directors so that both have information needed to fulfill their roles with respect to the entity’s objectives.
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.3;Provides Separate Communication Lines—Separate communication channels, such as whistle-blower hotlines, are in place and serve as fail-safe mechanisms to enable anonymous or confidential communication when normal channels are inoperative or ineffective.
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.4;Selects Relevant Method of Communication—The method of communication considers the timing, audience, and nature of the information.
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.5;Communicates Responsibilities—Entity personnel with responsibility for designing, developing, implementing, operating, maintaining, or monitoring system controls receive communications about their responsibilities, including changes in their responsibilities, and have the information necessary to carry out those responsibilities. 
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.6;Communicates Information on Reporting Failures, Incidents, Concerns, and Other Matters—Entity personnel are provided with information on how to report systems failures, incidents, concerns, and other complaints to personnel.
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.7;Communicates Objectives and Changes to Objectives —The entity communicates its objectives and changes to those objectives to personnel in a timely manner. 
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.8;Communicates Information to Improve Security Knowledge and Awareness—The entity communicates information to improve security knowledge and awareness and to model appropriate security behaviors to personnel through a security awareness training program. 
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.9;Communicates Information About System Operation and Boundaries—The entity prepares and communicates information about the design and operation of the system and its boundaries to authorized personnel to enable them to understand their role in the system and the results of system operation.
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.10;Communicates System Objectives—The entity communicates its objectives to personnel to enable them to carry out their responsibilities. 
CC2;Communication and Information;CC2.2;COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. ;CC2.2.11;Communicates System Changes—System changes that affect responsibilities or the achievement of the entity's objectives are communicated in a timely manner. 
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.1;Communicates to External Parties—Processes are in place to communicate relevant and timely information to external parties, including shareholders, partners, owners, regulators, customers, financial analysts, and other external parties.
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.2;Enables Inbound Communications—Open communication channels allow input from customers, consumers, suppliers, external auditors, regulators, financial analysts, and others, providing management and the board of directors with relevant information.
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.3;Communicates With the Board of Directors—Relevant information resulting from assessments conducted by external parties is communicated to the board of directors.
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.4;Provides Separate Communication Lines—Separate communication channels, such as whistle-blower hotlines, are in place and serve as fail-safe mechanisms to enable anonymous or confidential communication when normal channels are inoperative or ineffective.
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.5;Selects Relevant Method of Communication—The method of communication considers the timing, audience, and nature of the communication and legal, regulatory, and fiduciary requirements and expectations. 
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.6;Communicates Objectives Related to Confidentiality and Changes to Objectives— The entity communicates, to external users, vendors, business partners and others whose products and services are part of the system, objectives and changes to objectives related to confidentiality.  
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.7;Communicates Objectives Related to Privacy and Changes to Objectives—The entity communicates, to external users, vendors, business partners and others whose products and services are part of the system, objectives related to privacy and changes to those objectives. 
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.8;Communicates Information About System Operation and Boundaries—The entity prepares and communicates information about the design and operation of the system and its boundaries to authorized external users to permit users to understand their role in the system and the results of system operation. 
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.9;Communicates System Objectives—The entity communicates its system objectives to appropriate external users. 
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.10;Communicates System Responsibilities—External users with responsibility for designing, developing, implementing, operating, maintaining, and monitoring system controls receive communications about their responsibilities and have the information necessary to carry out those responsibilities.
CC2;Communication and Information;CC2.3;COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control. ;CC2.3.11;Communicates Information on Reporting System Failures, Incidents, Concerns, and Other Matters—External users are provided with information on how to report systems failures, incidents, concerns, and other complaints to appropriate personnel. 
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.1;Reflects Management's Choices—Operations objectives reflect management's choices about structure, industry considerations, and performance of the entity.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.2;Considers Tolerances for Risk—Management considers the acceptable levels of variation relative to the achievement of operations objectives.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.3;Includes Operations and Financial Performance Goals—The organization reflects the desired level of operations and financial performance for the entity within operations objectives.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.4;Forms a Basis for Committing of Resources—Management uses operations objectives as a basis for allocating resources needed to attain desired operations and financial performance.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.5;Complies With Applicable Accounting Standards—Financial reporting objectives are consistent with accounting principles suitable and available for that entity. The accounting principles selected are appropriate in the circumstances.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.6;Considers Materiality—Management considers materiality in financial statement presentation.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.7;Reflects Entity Activities—External reporting reflects the underlying transactions and events to show qualitative characteristics and assertions.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.8;Complies With Externally Established Frameworks—Management establishes objectives consistent with laws and regulations or standards and frameworks of recognized external organizations.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.9;Considers the Required Level of Precision—Management reflects the required level of precision and accuracy suitable for user needs and based on criteria established by third parties in nonfinancial reporting.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.10;Reflects Entity Activities—External reporting reflects the underlying transactions and events within a range of acceptable limits.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.11;Reflects Management's Choices—Internal reporting provides management with accurate and complete information regarding management's choices and information needed in managing the entity.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.12;Considers the Required Level of Precision—Management reflects the required level of precision and accuracy suitable for user needs in nonfinancial reporting objectives and materiality within financial reporting objectives.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.13;Reflects Entity Activities—Internal reporting reflects the underlying transactions and events within a range of acceptable limits.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.14;Reflects External Laws and Regulations—Laws and regulations establish minimum standards of conduct, which the entity integrates into compliance objectives.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.15;Considers Tolerances for Risk—Management considers the acceptable levels of variation relative to the achievement of operations objectives.
CC3;Risk Assessment;CC3.1;COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives. ;CC3.1.16;Establishes Sub-objectives to Support Objectives—Management identifies sub-objectives related to security, availability, processing integrity, confidentiality, and privacy to support the achievement of the entity’s objectives related to reporting, operations, and compliance.
CC3;Risk Assessment;CC3.2;COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. ;CC3.2.1;Includes Entity, Subsidiary, Division, Operating Unit, and Functional Levels—The entity identifies and assesses risk at the entity, subsidiary, division, operating unit, and functional levels relevant to the achievement of objectives.
CC3;Risk Assessment;CC3.2;COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. ;CC3.2.2;Analyzes Internal and External Factors—Risk identification considers both internal and external factors and their impact on the achievement of objectives.
CC3;Risk Assessment;CC3.2;COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. ;CC3.2.3;Involves Appropriate Levels of Management—The entity puts into place effective risk assessment mechanisms that involve appropriate levels of management.
CC3;Risk Assessment;CC3.2;COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. ;CC3.2.4;Estimates Significance of Risks Identified—Identified risks are analyzed through a process that includes estimating the potential significance of the risk. 
CC3;Risk Assessment;CC3.2;COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. ;CC3.2.5;Determines How to Respond to Risks—Risk assessment includes considering how the risk should be managed and whether to accept, avoid, reduce, or share the risk.
CC3;Risk Assessment;CC3.2;COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. ;CC3.2.6;"Identifies and Assesses Criticality of Information Assets and Identifies Threats and Vulnerabilities—The entity's risk identification and assessment process includes (1) identifying information assets, including physical devices and systems, virtual devices, software, data and data flows, external information systems, and organizational roles; (2) assessing the criticality of those information assets; (3) identifying the threats to the assets from intentional (including malicious) and unintentional acts and environmental events; and (4) identifying the vulnerabilities of the identified assets."
CC3;Risk Assessment;CC3.2;COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. ;CC3.2.7;Analyzes Threats and Vulnerabilities From Vendors, Business Partners, and Other Parties—The entity's risk assessment process includes the analysis of potential threats and vulnerabilities arising from vendors providing goods and services, as well as threats and vulnerabilities arising from business partners, customers, and others with access to the entity's information systems. 
CC3;Risk Assessment;CC3.2;COSO Principle 7: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed. ;CC3.2.8;"Considers the Significance of the Risk—The entity’s consideration of the potential significance of the identified risks includes (1) determining the criticality of identified assets in meeting objectives; (2) assessing the impact of identified threats and vulnerabilities in meeting objectives; (3) assessing the likelihood of identified threats; and (4) determining the risk associated with assets based on asset criticality, threat impact, and likelihood."
CC3;Risk Assessment;CC3.3;COSO Principle 8: The entity considers the potential for fraud in assessing risks to the achievement of objectives. ;CC3.3.1;Considers Various Types of Fraud—The assessment of fraud considers fraudulent reporting, possible loss of assets, and corruption resulting from the various ways that fraud and misconduct can occur.
CC3;Risk Assessment;CC3.3;COSO Principle 8: The entity considers the potential for fraud in assessing risks to the achievement of objectives. ;CC3.3.2;Assesses Incentives and Pressures—The assessment of fraud risks considers incentives and pressures.
CC3;Risk Assessment;CC3.3;COSO Principle 8: The entity considers the potential for fraud in assessing risks to the achievement of objectives. ;CC3.3.3;Assesses Opportunities—The assessment of fraud risk considers opportunities for unauthorized acquisition, use, or disposal of assets, altering the entity’s reporting records, or committing other inappropriate acts.
CC3;Risk Assessment;CC3.3;COSO Principle 8: The entity considers the potential for fraud in assessing risks to the achievement of objectives. ;CC3.3.4;Assesses Attitudes and Rationalizations—The assessment of fraud risk considers how management and other personnel might engage in or justify inappropriate actions.
CC3;Risk Assessment;CC3.3;COSO Principle 8: The entity considers the potential for fraud in assessing risks to the achievement of objectives. ;CC3.3.5;Considers the Risks Related to the Use of IT and Access to Information—The assessment of fraud risks includes consideration of threats and vulnerabilities that arise specifically from the use of IT and access to information. 
CC3;Risk Assessment;CC3.4;COSO Principle 9: The entity identifies and assesses changes that could significantly impact the system of internal control. ;CC3.4.1;Assesses Changes in the External Environment—The risk identification process considers changes to the regulatory, economic, and physical environment in which the entity operates.
CC3;Risk Assessment;CC3.4;COSO Principle 9: The entity identifies and assesses changes that could significantly impact the system of internal control. ;CC3.4.2;Assesses Changes in the Business Model—The entity considers the potential impacts of new business lines, dramatically altered compositions of existing business lines, acquired or divested business operations on the system of internal control, rapid growth, changing reliance on foreign geographies, and new technologies.
CC3;Risk Assessment;CC3.4;COSO Principle 9: The entity identifies and assesses changes that could significantly impact the system of internal control. ;CC3.4.3;Assesses Changes in Leadership—The entity considers changes in management and respective attitudes and philosophies on the system of internal control.
CC3;Risk Assessment;CC3.4;COSO Principle 9: The entity identifies and assesses changes that could significantly impact the system of internal control. ;CC3.4.4;Assess Changes in Systems and Technology—The risk identification process considers changes arising from changes in the entity’s systems and changes in the technology environment. 
CC3;Risk Assessment;CC3.4;COSO Principle 9: The entity identifies and assesses changes that could significantly impact the system of internal control. ;CC3.4.5;Assess Changes in Vendor and Business Partner Relationships—The risk identification process considers changes in vendor and business partner relationships. 
CC4;Monitoring of Controls;CC4.1;COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. ;CC4.1.1;Considers a Mix of Ongoing and Separate Evaluations—Management includes a balance of ongoing and separate evaluations.
CC4;Monitoring of Controls;CC4.1;COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. ;CC4.1.2;Considers Rate of Change—Management considers the rate of change in business and business processes when selecting and developing ongoing and separate evaluations.
CC4;Monitoring of Controls;CC4.1;COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. ;CC4.1.3;Establishes Baseline Understanding—The design and current state of an internal control system are used to establish a baseline for ongoing and separate evaluations.
CC4;Monitoring of Controls;CC4.1;COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. ;CC4.1.4;Uses Knowledgeable Personnel—Evaluators performing ongoing and separate evaluations have sufficient knowledge to understand what is being evaluated.
CC4;Monitoring of Controls;CC4.1;COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. ;CC4.1.5;Integrates With Business Processes—Ongoing evaluations are built into the business processes and adjust to changing conditions.
CC4;Monitoring of Controls;CC4.1;COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. ;CC4.1.6;Adjusts Scope and Frequency—Management varies the scope and frequency of separate evaluations depending on risk.
CC4;Monitoring of Controls;CC4.1;COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. ;CC4.1.7;Objectively Evaluates—Separate evaluations are performed periodically to provide objective feedback.
CC4;Monitoring of Controls;CC4.1;COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning. ;CC4.1.8;Considers Different Types of Ongoing and Separate Evaluations—Management uses a variety of different types of ongoing and separate evaluations, including penetration testing, independent certification made against established specifications (for example, ISO certifications), and internal audit assessments.  
CC4;Monitoring of Controls;CC4.2;COSO Principle 17: The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate. ;CC4.2.1;Assesses Results—Management and the board of directors, as appropriate, assess results of ongoing and separate evaluations.
CC4;Monitoring of Controls;CC4.2;COSO Principle 17: The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate. ;CC4.2.2;Communicates Deficiencies—Deficiencies are communicated to parties responsible for taking corrective action and to senior management and the board of directors, as appropriate.
CC4;Monitoring of Controls;CC4.2;COSO Principle 17: The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate. ;CC4.2.3;Monitors Corrective Action—Management tracks whether deficiencies are remedied on a timely basis.
CC5;Design and implementation of Controls;CC5.1;COSO Principle 10: The entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.;CC5.1.1;Integrates With Risk Assessment—Control activities help ensure that risk responses that address and mitigate risks are carried out.  
CC5;Design and implementation of Controls;CC5.1;COSO Principle 10: The entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.;CC5.1.2;Considers Entity-Specific Factors—Management considers how the environment, complexity, nature, and scope of its operations, as well as the specific characteristics of its organization, affect the selection and development of control activities.
CC5;Design and implementation of Controls;CC5.1;COSO Principle 10: The entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.;CC5.1.3;Determines Relevant Business Processes—Management determines which relevant business processes require control activities.
CC5;Design and implementation of Controls;CC5.1;COSO Principle 10: The entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.;CC5.1.4;Evaluates a Mix of Control Activity Types—Control activities include a range and variety of controls and may include a balance of approaches to mitigate risks, considering both manual and automated controls, and preventive and detective controls.
CC5;Design and implementation of Controls;CC5.1;COSO Principle 10: The entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.;CC5.1.5;Considers at What Level Activities Are Applied—Management considers control activities at various levels in the entity.
CC5;Design and implementation of Controls;CC5.1;COSO Principle 10: The entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.;CC5.1.6;Addresses Segregation of Duties—Management segregates incompatible duties, and where such segregation is not practical, management selects and develops alternative control activities.
CC5;Design and implementation of Controls;CC5.2;COSO Principle 11: The entity also selects and develops general control activities over technology to support the achievement of objectives.;CC5.2.1;Determines Dependency Between the Use of Technology in Business Processes and Technology General Controls—Management understands and determines the dependency and linkage between business processes, automated control activities, and technology general controls.
